PID,Title,Description,Identifier,Format,Type,Access rights statement,Copyright statement,Relationship,Digital URI,ILMS Identifier,ILMS URI,Creator/Contributor,Date,Location,Accession number
628462,"Interior Views Of Plaza Theatre, Collins Street, Melbourne","Title assigned from inscriptions on envelopes. -- Undated but circa 1940s. -- Negative numbers inscribed in negatives: F957-2, F957-3, F957-4, F957-5, F957-8, F957-9, F957-10, F957-11, F957-12, F957-14, F957-15, F957-16, F957-17, F957-18, F957-19, F957-20",is003838,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/628606,2044462,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2044462,"Commercial Photographic Co., photographer.",1940/1949,,H2009.177/24
338186,"Government House, Melbourne","Collection Of Postcard Views Of Melbourne Public Buildings Cards are printed in colour, with titles in red on face. -- 1. Commonwealth Parliament House -- 2. General Post Office -- 3. Government House -- 4. General Hospital -- 5. St. Paul's Cathedral -- 6. Public Library and Art Gallery -- 7. Fire Station, Easter",pc004487,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/338202,1913100,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1913100,"Cole, E. W. (Edward William), 1832-1918.",1902/1908,,H2009.98/1
278479,"Buckley & Nunn, 27 Bourke Street East, Melbourne","Buckley and Nunn was a department store in the early 1900s, which operated out of two adjacent buildings in Bourke Street (294-312 Bourke Street and 285-295 Little Bourke Street). The buildings were designed by architectural firm Bates, Peebles & Smart. After an art-deco inspired extension, the eastern building won the 1934 Royal Victorian Institute of Architects' Street Architecture Medal. The entire site was bought by David Jones in 1982.",pi000399,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/278675,1670591,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1670591,"Davies & Co. (Melbourne, Vic.), photographer.",1965/1969,"""-37.813647, 144.964523"", 312 Bourke",H97.165
284612,"Cromwell Buildings, 360-374 Bourke St., Melbourne","The Cromwell Buildings were a six storied brick building on the corner of Elizabeth and Bourke St built in the early 1890s, which was home to the Melbourne School of Art and Nettleberg's Furriers. The name of Nettleberg's Furriers is probably most famous for the accidently poisoning of Maurice Nettleberg (furrier), his son Zebe Nettleberg, and future son-in-law Nathaniel Myers by the application of cream of tartar and Epsom Salts. The cream of tartar was found to contain arsenic. Only the son survived. The building was sold to the Bank of Australasia in 1946 and demolished in the 1970s. It was replaced with an office block, which then gave way to a shopping centre.",a41938,image/jpg,"StillImage,Film negatives",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/284832,1766747,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1766747,"Fowler, Lyle 1891-1969 photographer.   Commercial Photographic Co., photographer.",1954,"""-37.814166, 144.96276"", 360-374 Bourke",H92.20/5260
2357519,"Collins Street, Melbourne","Photographic Souvenir Of Melbourne. Foldout postcard comprising 15 images. , Title taken from cover, not captured. Published by The Valentine & Sons Publishing Co. Ltd. Melbourne. Including view from Flinders street, Swanston street, Collins street, View from Wellington parade and Alexandra avenue",b30375,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2357961,1707465,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1707465,,1911/1917,,H40638
2933499,"Alexandra Club. 135-139 Collins St., Melbourne","The Alexandra Club was designed by William Salway and completed in 1887. The Mannerist style building was originally two storeys with a tower. A third storey was added about 1900. The Alexandra club, a private womenÃ¯Â¿Â½s club, once occupied the building.",jc018222,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2935826,1698661,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1698661,"Collins, John T. 1907-2001 , photographer.",1976-06-13,"""-37.814821, 144.969433"", 139 Collins",H98.252/763
2893689,"Customs House, Flinders Street, Melbourne","Customs House was originally designed by Knight and Kerr and was completed in 1858. Subsequent designs by Johnson, Clark and Kerr, were completed in 1876. Its construction reflected MelbourneÃ¯Â¿Â½s burgeoning economy following the goldrush and the influx of imports. A typical example of MelbourneÃ¯Â¿Â½s public buildings of the time, its four columns reflect the Italian Renaissance style.  On the first floor is the majestic Long Room, which now acts as the main exhibition space for the Immigration Museum.",an017555,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2895367,1789775,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1789775,"Argus (Melbourne, Vic.)",1934,"""-37.819139, 144.960366"", 400 Flinders",H2002.199/759
2357525,"Looking up Bourke street, towards Houses of Parliment","Photographic Souvenir Of Melbourne. Foldout postcard comprising 15 images. , Title taken from cover, not captured. Published by The Valentine & Sons Publishing Co. Ltd. Melbourne. Including view from Flinders street, Swanston street, Collins street, View from Wellington parade and Alexandra avenue",b30381,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2357967,1707465,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1707465,,1911/1917,,H40638
3079074,"St Pauls Anglican Cathedral, Melbourne","Part of Folding souvenir of Melbourne, 17 artistic, up-to-date views of public buildings (series no. 4) Title printed top of cover,  with The Oanco printed above the title. Also printed on cover is a Kookaburra sitting on a branch. -- Also printed top right of cover: One Penny will carry this anywhere in Commonwealth British Empire & Foreign Countries, le",pi006815,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Victorian state schools and students Series No. 4,http://api.slv.vic.gov.au/access_record/3080281,1807041,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1807041,,1920/1929,"Cnr Flinders and Swanston streets, Melbourne",H2008.12/120
3077658,Melbourne Hospital,"The original Melbourne Hospital opened in 1848 and initially only had 10 beds, increasing to 20 beds within the first year. A central block was added in 1854, with the western block added in 1857. The hospital continued to grow, with further building additions, until 1867 Ã¢â‚¬â€œ with about 300 beds for patients. Melbourne Hospital became known as the Royal Melbourne Hospital and moved to Parkville in 1940s. The site on Swanston Street was used as the Central Hospital from 1944-46, and then re-opened as the Queen Victoria Hospital, which was one of the few hospitals for women and run by women. Most of the buildings were demolished but, today, the Queen Victoria Women's Centre still runs out of an original part of the building.",pc003713,image/jpg,"StillImage,Postcards,Halftone photomechanical prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3078394,1785840,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1785840,,1909/1915,"288 Swanston Street, Melbourne, -37.81098557, 144.9645538",H2001.204/3
2357531,"Elizabeth Street, Melbourne","Photographic Souvenir Of Melbourne. Foldout postcard comprising 15 images. , Title taken from cover, not captured. Published by The Valentine & Sons Publishing Co. Ltd. Melbourne. Including view from Flinders street, Swanston street, Collins street, View from Wellington parade and Alexandra avenue",b30387,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2357973,1707465,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1707465,,1911/1917,,H40638
501235,"Looking West Collins St., Melbourne","Collins Street is named after Lieutenant Colonel David Collins, who briefly established a settlement in Sorrento, on VictoriaÃ¯Â¿Â½s Mornington peninsula in 1803. Collins was responsible for the colony's legal system. From the 1850s, Collins Street was home to many professional legal and medical practices as well as the exclusive Melbourne Club, a men-only private social club, which still runs today. ",fc000206,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/501809,1757225,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1757225,"Victorian Railways, photographer.",1900/1920,"""-37.816174, 144.963414"", 330 Collins",H92.301/206
3079077,"The Wilson Hall, Melbourne University","Part of Folding souvenir of Melbourne, 17 artistic, up-to-date views of public buildings (series no. 4) Title printed top of cover,  with The Oanco printed above the title. Also printed on cover is a Kookaburra sitting on a branch. -- Also printed top right of cover: One Penny will carry this anywhere in Commonwealth British Empire & Foreign Countries, le",pi006818,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Victorian state schools and students Series No. 4,http://api.slv.vic.gov.au/access_record/3080284,1807041,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1807041,,1920/1929,Melbourne,H2008.12/120
2060275,The Electric Lighting Of Melbourne Streets ,Print published in The Illustrated Australian news. -- Title inscribed below image l.c. -- Inscribed on image m.r.: L U K -- Comprises five separate images. -- The City of Melbourne Electric Lighting Station -- The ceremony of switching on the electric li,mp006547,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2060874,1772128,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1772128,L. U. K.,1894-04-04,,IAN02/04/94/12a
336545,"Commonwealth Bank Of Australia, Bourke Street, Melbourne","When built in 1941, the eleven storey Commonwealth Bank of Australia building reached MelbourneÃ¯Â¿Â½s height limit of forty metres. Designed by W Henderson and constructed using locally made materials, the building was impacted to war-time restrictions - the central faÃ¯Â¿Â½ade projects slightly more than the narrower two on either sides. The rows of windows and the strong base underpin its Classical style. The Commonwealth Bank was established in 1911 by the Australian Government and operated as such until it was privatised in 1996.",pi009226,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/337659,1914990,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1914990,"Commercial Photographic Co., photographers.",1954,"""-37.813348, 144.967053"", 219 Bourke",H2009.95/27
2039657,"Main Entrance, Flinders Street Railway Station, Melbourne","Artistic Melbourne Views, Part of a 17 postcard views in a booklet. -- Printed on cover l.c.:Buildings, Streets & Parks. -- Printed by The Speciality Press Pty. Ltd., 189 little Collins St., Melbourne.",pc003328,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Viewfolders Victoria. H-O.; Kookaburra series.,http://api.slv.vic.gov.au/access_record/2040141,1774350,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1774350,,1911/1918,,H98.116/1
3077673,"The Adelaide Steamship Coy Ltd, Steamship Buildings Melbourne, Vic.","Before being demolished in 1977, the Adelaide Steamship Company Building stood at 505 Collins Street. Built in 1905 and designed by Charles A D'Ebro, it was a four storey building with a wide arched doorway - the name of building worked in stone above third storey. The Adelaide Steamship Company  provided steamship services from Adelaide to Melbourne.",pi004875,image/jpg,"StillImage,Albumen prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3078402,1793873,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1793873,"Darge, photographer.",1900/1920,"""-37.818429, 144.957087"", 505-509 Collins",H2004.89/9
628471,"Interior Views Of Plaza Theatre, Collins Street, Melbourne","Title assigned from inscriptions on envelopes. -- Undated but circa 1940s. -- Negative numbers inscribed in negatives: F957-2, F957-3, F957-4, F957-5, F957-8, F957-9, F957-10, F957-11, F957-12, F957-14, F957-15, F957-16, F957-17, F957-18, F957-19, F957-20",is003847,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/628617,2044462,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2044462,"Commercial Photographic Co., photographer.",1940/1949,,H2009.177/24
338190,Fire Station Eastern Hill,"Collection Of Postcard Views Of Melbourne Public Buildings Cards are printed in colour, with titles in red on face. -- 1. Commonwealth Parliament House -- 2. General Post Office -- 3. Government House -- 4. General Hospital -- 5. St. Paul's Cathedral -- 6. Public Library and Art Gallery -- 7. Fire Station, Easter",pc004491,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/338207,1913100,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1913100,"Cole, E. W. (Edward William), 1832-1918.",1902/1908,,H2009.98/1
2984275,"Melbourne Resi Perm. Build. Soc. I.E. Permanent Building Society (abraham's) 563 Bourke St., Melbourne","The Gollin and Co Building was built in 1902 and designed by Charles D'Ebro. This five storey commercial building features one of the few turrets in the city. The base of the turret has detailed decoration and the windows on each of the floors have a different style, from curved to narrow to rectangular. The building demonstrates VictoriaÃ¯Â¿Â½s recovering economy following the 1890s Depression.",jc019262,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2984400,1698652,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1698652,"Collins, John T. 1907-2001 , photographer.",1981-04-12,"""-37.816263, 144.956908"", 561 Bourke",H98.252/935
950539,"Scots Church From Russell St., Melbourne","The ScotsÃ¯Â¿Â½ Church, made of sandstone and limestone, is a Presbyterian Church which opened in 1873. The Church was designed by Joseph Reed, and built by David Mitchell. MitchellÃ¯Â¿Â½s daughter, soprano Dame Nellie Melba, sang in the choir. The Church features magnificent stained glass windows depicting the Last Supper. The 120 feet high spire, the tallest structure in Melbourne in the 1880s and 1890s, was damaged by lightning in 1963 and lowered in height. However, in 1989 the spire was rebuilt to regain its original height. ",pi011926,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/950988,1981058,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1981058,"McDonald, Daniel, fl. 1867-1891, photographer.",1872/1878,"""-37.814022, 144.968737"", 99 Russell",H2001.20/373
505695,The Junction Of Elizabeth & Lonsdale Sts Melbourne,"St Francis Church is the oldest Catholic Church in Melbourne, built originally as a wooden church in 1841 and designed by Samuel Jackson. It was rebuilt and reopened in 1845 and subsequently had various features added, such as Ã¢â‚¬ËœLadye ChapelÃ¢â‚¬â„¢ in the mid-1850s. It is still very popular today - with over 10,000 weekly attendees.",wp003076,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/505792,1911231,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1911231,"Stringer, Mason & Co., lithographers.   Thomas, Edmund, 1827-1867, artist.",1853,"326 Lonsdale street, Melbourne, -37.81173325, 144.9624786",H24489
2357631,"Bourke Street, North Side Between Russell And Swanston Streets Showing Parer's Crystal Cafe At No. 103, The Melbourne Coffee Palace And The Wax Works","Built in 1886, Parer's Crystal CafÃ© was one of Melbourne's leading coffee houses and hotels. Designed by architect Peter Matthew, with later renovations by RM and MH King, it was built for the Parer brothers, who arrived in Australia from Catalonia in the 1850s. With four storeys decorated with fountains, 'opus sectile' (mosaic) floors and mirrored walls, and topped with a dome, the building was famously opulent. The hotel had 80 bedrooms upstairs, and a popular bar and cafÃ© at street level. The building was demolished in 1961 to make way for Walton's department store. The space later housed a cinema, before being transformed into the Mid-City Centre, where a cinema still operates today.",b21963,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2358021,1720221,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1720221,"Walker, Charles B. fl. 1888-1900 photographer.",1885/1891,"""-37.81226349, 144.9701843"", 103 Bourke",H81.111
324834,"Pedestrians Crossing Street At Intersection Of Bourke And Swanston Streets, Melbourne","Bourke Street was named after Sir Richard Bourke who was appointed Governor of New South Wales in 1831. Bourke Street is marked by Melbourne's first post office, built in 1841, which stands on the corner of Elizabeth Street. Bourke Street's retail reputation was formalised in 1983, when the eastern section was transformed into a pedestrian mall.",cf001570,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/324990,1761099,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1761099,"Harvey, John Henry 1855-1938 photographer.",1880/1938,"""-37.813531, 144.965633"", NW cnr Bourke & Swanston",H91.300/951
231393,Fish Market Corner Flinders And Spencer Streets Melbourne,"Melbourne Fish Market stood to the east of Flinders Street, built in 1890. It was an ornate building, featuring spires and a clock tower, and covering 23,000 square metres. It was demolished in 1956 for a car park in 1956, when Melbourne wanted to modernise its appearance in preparation for the 1956 Olympic Games.",gr006711,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/233156,1650818,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1650818,"Green, Allan C. 1878-1954 photographer.",1937/1944,"""-37.821068, 144.955899"", 573 Flinders",H91.325/1882
3046278,Melbourne Bird's-eye.,"Taken from Elizabeth Street, a panoramic view looking north east.",cg004621,image/jpg,"MovingImage,Glass transparencies,Bird's eye views,Lantern slides",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3046416,2566072,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2566072,"Stainer, Cyril Robert, compiler.",1890/1930,"""-37.815227, 144.963611"", Cnr Elizabeth and Little Collins",H2013.223/30
2061470,Coles Book Arcade,"Cole's Book Arcade opened in 1883 in what is now the Bourke Street Mall. It boasted over 2 million new and second hand books and was famous around the world. The store offered a jovial atmosphere for its customers with a pianist, a fernery and menagerie, along with toys and a confectionery department. Cole provided comfortable chairs for customers and encouraged them to read without buying. Cole also published many editions of his own picture book, Cole's Funny Picture Book, which sold in the hundreds of thousands. EW Cole died in 1918, but the Melbourne Arcade continued until 1929.",pi000690,image/jpg,"StillImage,Gelatin silver prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2061807,1666827,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1666827,"Shier, Spencer 1884-1946. photographer.   Darge, Algernon 1881-1941 photographer.",1883/1903,"""-37.814029, 144.964717"", 299 Bourke",H96.207/1
628454,"Interior Views Of Plaza Theatre, Collins Street, Melbourne","Title assigned from inscriptions on envelopes. -- Undated but circa 1940s. -- Negative numbers inscribed in negatives: F957-2, F957-3, F957-4, F957-5, F957-8, F957-9, F957-10, F957-11, F957-12, F957-14, F957-15, F957-16, F957-17, F957-18, F957-19, F957-20",is003830,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/628596,2044462,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2044462,"Commercial Photographic Co., photographer.",1940/1949,,H2009.177/24
1755412,"State Library Of Victoria, Including Forecourt And Portico, Domed Reading Room At The Rear","The competition to design the State Library of Victoria was won by Joseph Reed, the architect of many of Melbourne's notable buildings. The first Library building opened in February 1856, during the Victorian gold rush. The building, which is in fact made up of 23 buildings, takes up an entire city block. It has also housed, for a time, the Museum and National Gallery of Victoria. Highlights include the grand portico, the spectacular domed La Trobe Reading Room and the splendid Redmond Barry Reading Room. A fully history of the Library is available online.",mp012737,image/jpg,"StillImage,Gelatin silver prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/1755577,1787292,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1787292,"Argus (Melbourne, Vic.), photographer.",1930/1936,"""-37.81000137,144.9649963"", 328 Swanston",H12971
628472,"Interior Views Of Plaza Theatre, Collins Street, Melbourne","Title assigned from inscriptions on envelopes. -- Undated but circa 1940s. -- Negative numbers inscribed in negatives: F957-2, F957-3, F957-4, F957-5, F957-8, F957-9, F957-10, F957-11, F957-12, F957-14, F957-15, F957-16, F957-17, F957-18, F957-19, F957-20",is003848,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/628618,2044462,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2044462,"Commercial Photographic Co., photographer.",1940/1949,,H2009.177/24
628473,"Interior Views Of Plaza Theatre, Collins Street, Melbourne","Title assigned from inscriptions on envelopes. -- Undated but circa 1940s. -- Negative numbers inscribed in negatives: F957-2, F957-3, F957-4, F957-5, F957-8, F957-9, F957-10, F957-11, F957-12, F957-14, F957-15, F957-16, F957-17, F957-18, F957-19, F957-20",is003849,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/628620,2044462,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2044462,"Commercial Photographic Co., photographer.",1940/1949,,H2009.177/24
481215,"Supreme Court & Gaol, Melbourne","The Old Supreme Court was built in 1842 on the present site of the City Court, Melbourne.The Supreme Court was used for Licensing and the Court of Petty Sessions from 1884 to 1911. ",wp001505,image/jpg,"StillImage,Cityscapes,Lithographs",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/483597,1684978,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1684978,"Stringer, Mason & Co. engravers.",1853,"""-37.808601, 144.96589"", 325 Russell",H889
85563,"Bourke Street, Melbourne.","Built in 1886, Parer's Crystal CafÃ¯Â¿Â½ was one of Melbourne's leading coffee houses and hotels. Designed by architect Peter Matthew, with later renovations by RM and MH King, it was built for the Parer brothers, who arrived in Australia from Catalonia in the 1850s. With four storeys decorated with fountains, 'opus sectile' (mosaic) floors and mirrored walls, and topped with a dome, the building was famously opulent. The hotel had 80 bedrooms upstairs, and a popular bar and cafÃ¯Â¿Â½ at street level. The building was demolished in 1961 to make way for WaltonÃ¯Â¿Â½s department store. The space later housed a cinema, before being transformed into the Mid-City Centre, where a cinema still operates today.",sj000180,image/jpg,"StillImage,Postcards",No copyright restrictions apply.,This work is out of copyright,Shirley Jones collection of Victorian postcards,http://api.slv.vic.gov.au/access_record/86119,1667934,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1667934,,1902/1908,"""-37.81226349, 144.9701843"", 103 Bourke",H96.200/146
1037127,"View From Above Regent Theatre Looking West Down Collins Street, Melbourne","Shows the original A.P.A. Building and the second A.P.A. building with tower under construction, Capitol Theatre, Equitable Life Building, Supreme Court and the Australian Building corner of Flinders Lane and Elizabeth Streets.",vr000294,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Victorian Railways collection.,http://api.slv.vic.gov.au/access_record/1038316,1739360,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1739360,"Victorian Railways, photographer.,",1942/1957,,H91.50/315
504762,"St. Francis' R.C. Church, Melbourne 1854","St Francis Church is the oldest Catholic Church in Melbourne, built originally as a wooden church in 1841 and designed by Samuel Jackson. It was rebuilt and reopened in 1845 and subsequently had various features added, such as Ã¢â‚¬ËœLadye ChapelÃ¢â‚¬â„¢ in the mid-1850s. It is still very popular today - with over 10,000 weekly attendees.",wp003058,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/504883,1896503,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1896503,"Thomas, Edmund, 1827-1867, artist.   James, D. fl. 1885, lithographer.",1854,"-37.81173325, 144.9624786, 326 Lonsdale street, Melbourne",H24510
1003411,"Flinders Street Railway Station, Melbourne","Flinders Street Station was designed by JW Fowcett and GPG Ashworthand was  finally completed in 1910.  Electric trains began arriving and departing in 1919. Flinders Street is now MelbourneÃ¢â‚¬â„¢s busiest station and one of the cityÃ¢â‚¬â„¢s most iconic buildings, used by over 100,000 people every day. The clocks across the arch, part of the original design, show the times of departing trains, and continue to be a popular meeting place for Victorians. In 2013 the State Government announced a billion dollar refurbishment, to include a water-front amphitheatre and a market whilst still retaining the iconic dome and arched entrance.",pi011976,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/1003483,2155399,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2155399,,1982,"Cnr Flinders street & Swanston street, Melbourne, 195 Flinders street, Melbourne, -37.8176384,144.9671783",H2011.25/1
2957586,"Melbourne Shot Tower Knox Place, Melbourne","Coop's Shot Tower rises over 50 metres and was built in 1890. It is 9 storeys high, and has 327 steps to the top. The tower was managed by the Coops family and would weekly produce six tonnes of lead pellets. The Coops also managed a tower in Clifton Hill, which is still standing. In 1991 the Melbourne Central tower was encased in the conical tower.",jc019354,image/jpg,StillImage,Use of this work allowed provided the creator and SLV acknowledged.,This work is in copyright. Copyright has been assigned to the State Library of Victoria,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2957865,1699055,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1699055,"Collins, John T. 1907-2001 , photographer.",1963-12-25,"""-37.811700, 144.963486"", 211 La Trobe",H98.252/1028
2795474,"The Princess Theater, Spring St., Melbourne","The Princess Theatre was opened in 1886 and designed by William Pitt, a prominent Melbourne architect. Its elaborate French Baroque style reflects a boom time in Melbourne entertainment. A feature was the domed roofline which originally opened to allow ventilation. The interior was redesigned in 1922 by theatre architect, Henry E White. The Princess was used as picture theatre during the war years but now is a popular venue for major live shows.",is007583,image/jpg,"StillImage,Albumen prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/2795656,2470315,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER2470315,"Lindt, J. W. (John William), 1845-1926, photographer.   Dubucand, Albert fl.1888-1893, compiler.",1880/1892,"""-37.810729, 144.972464"", 163 Spring street",H2001.60/16
3077685,"Parliament House, Melbourne","Parliament House commenced construction in 1856, and was continually added to until 1929. This is one of AustraliaÃ¯Â¿Â½s premier 19th century buildings. Designed by government architect, Charles Pasley, the location was selected by colonial surveyor, Robert Hoddle, who placed it at the top of Bourke Street to overlook the city. The strong European influence is reflected in the Romanesque grand columns and Classical Greek sculptural reliefs. The original design also included a dome, but was cancelled due to cost. The building was used the Commonwealth Parliament from 1901-1927.",pc004104,image/jpg,"StillImage,Photographic postcards,Gelatin silver prints",No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/3078408,1797494,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1797494,"Rose Stereograph Co., photographer.",1912/1918,"""-37.81125935, 144.9733765"", 110 Spring",H93.492/3
602170,"Paramount's Capitol Theatre, Swanston Street, Melbourne","Dated from movies. -- Inscribed on negative H2009.21/73 u.l.: Capitol. -- The Capital Theatre was built 1921-1924, designed by architect Walter Burley Griffin, in association with Melbourne architects Peck and Kemter. -- Exterior view of the cinema with 2",is002209,image/jpg,StillImage,No copyright restrictions apply.,This work is out of copyright,Hoddles Grid App,http://api.slv.vic.gov.au/access_record/602542,1832670,http://search.slv.vic.gov.au/MAIN:Everything:SLV_VOYAGER1832670,"Griffin, Walter Burley, 1876-1937, architect   Commercial Photographic Co., photographer.   Peck & Kemter, architect",1937/1939,,H2009.21/64
